TAURON Polska Energia S.A.|25557 30730
CentralNic Ltd|199330 201303 204055 60890 203961 201304 42044
Owl Limited|23959 43357
INTERNET HARBOR|64096 56282
Gemnet LLC|24064 45204
Verizon Communications, Inc.|6066 14551 23148 2828 701 702 703
NZIX ExchangeNET|24388 9560
IP-Only|16150 12552
WorldPath Internet Services|3770 10314
The Cloud Networks Germany GmbH|42390 20830
VeriSign|21313 7342 26415
Reliance Jio Infocomm Ltd|64049 55836
Filanco Ltd.|29076 3175
Greek Research & Technology Network (GRNET)|5408 199399
Chaos Computer Club e.V.|50472 13020
RIPE NCC|25152 3333 197000 12654
Sungard Availability Services|7381 15533
Wal-Mart Stores Inc.|46313 17374
ColocationIX GmbH|61955 2851
Wolf Network Lab|205603 138038
OskolTelecom|47531 57741
Groupe Oceanet Technology|35152 60199 51335 200411 20926 199565
Viatel Ireland Ltd|31458 31122
TekSavvy Solutions Inc.|20375 5645
NetActuate, Inc|36236 13647
iWelt AG|29624 13289
Setson LLC|397095 23540
SIDN - Stichting Internet Domeinregistratie Nederland|1140 48283
Paulus M. Hoogsteder trading as Meanie|61385 31019
eNetworks Pty Ltd|37394 32653
MaximaTelecom JSC|52060 202173
McAfee Germany GmbH|205272 203724
NL-ix|34307 43339 42604
VETORIALNET INFORMÁTICA E SERVIÇOS DE INTERNET EIRELI – EPP|53066 264015
PT. Insan Sarana Telematika|24535 138869
Arnes|51988 2107
JSC Ufanet|59712 41704 57128 24955 47775 60095
Videotron Ltd|13571 5769
Sandro Bolliger|204418 12307 21124
NaMeX - Nautilus Mediterranean eXchange Point|24796 196959
ARPCE|37481 37548
China Broadband Communications|131314 45587
VIRTUA SYSTEMS SAS|200995 35661
Clarksys Inc.|7012 11799
Hoffmann - La Roche Ltd.|10725 18535 47340 2047
TPnets.com Sp. z o.o.|35491 205082
DENIC eG|31529 8763
Positive Internet USA|46130 21260
Oz Servers Pty Ltd|23670 45261
NFOrce Internet Services|64437 43350
Kunming Broadcast&TV Network CO.,LTD|135011 59022
Webair|20264 27257 36057
China Mobile Hong Kong Company Limited|137872 24059 9231
Salmat|55521 24338
TripAdvisor LLC|60038 32286
PT SOLNET INDONESIA|45296 9422
True Internet Corporation Co., Ltd.|38081 38082
AFNIC|2484 2485 2486
SysEleven GmbH|49130 25291
iomart Hosting Limited|25108 11352 29131 20860 35662
Montana Opticom LLC|11924 22485
Starry, Inc.|27611 395354
Santa Monica Networks|39626 35407
Telecommunication Infrastructure Company|12880 49666 48159
Atlantic Broadband Finance, LLC|11776 32448 53250 12035
TOP-IX|41364 25309
TierPoint|30496 17378 33251 30340 11274 19019 27467 7181 26094 7349 11383 16695 36024 17113 36284 33693
NTT Communications Corporation (OKN)|38629 4713 9598
Whatbox Inc.|394151 205689
Comcast|33664 33665 33666 33667 33668 21508 33287 11025 7725 13367 13385 33489 33490 33491 7015 7016 7922 33650 22258 33651 33652 33653 20214 33654 33655 33656 33657 33659 33660 36732 22909 33661 36733 33662
Network Information Center México S.C.|28498 28499 28500 28468 28504 28540 27661 22894
Rackspace|45187 12200 58683
Simtronic Technologies Pty Ltd|7490 55707
Summit Communications Limited|132884 58717
123.Net, Inc.|12129 7949
1&1 Versatel Deutschland GmbH|8881 13270
Sprint|1239 1803
CommunityRack.org|39540 44596 57118
MegaNet Telecom|268420 268225
Netflix|55095 2906 40027
China Telecom|136194 136195 136192 136193 38283 133774 133775 134418 134419 133776 134420 4134 58539 23724 58540 58541 58542 58543 58563 36678 4809 4812 4816 137687 63835 63836 134238 58461 23650 58466 4835 17638 134756 134762 134763 134761 134766 134764 4847 134765 134770 134771 134768 134769 134772 136190 136191 136188 131325
Pandora Media, Inc|22518 40428
GlobalConnect|31027 34932 42525 28717
T-Mobile USA|3651 6167 21928 20057 22394 10507
Showmax|207119 327880
Pinku Daimari|210035 59411 138408
Cloud-Temple|33930 37709
Cloud and SDN Laboratory|7530 59099
University of Vienna|1120 1121 1853
GreenDot Ltd.|393629 27789
LCSD, HKSARG|38603 38574
Advanced Science and Technology Institute|9821 136028
4b42 UG (haftungsbeschränkt)|204450 205387 60474 204828
FAMILY NET JAPAN INCORPORATED|59125 131925
Zeug e.K.|208553 208840
Internet Solutions|20011 3741
Brennan Voice and Data Pty Ltd|9738 17898
Avira Operations GmbH & Co. KG|203507 206970
Data Logistics Center|201201 58146
Nyatwork|137936 35145
FidoNet Registration Services Ltd|8282 9179
PT Jala Lintas Media|133840 55685
AGILY TELECOM|264493 265039
NexLogic Telecommunications Network Inc.|135025 135305
NDIX|206676 20828
ARI Registry Services|18210 134386 134387 134384 134385 134390 134391 134388 134389 134394 134395 134392 134393 58620 134398 134399 134396 134397
University System of Georgia|3479 3480
GLOB3X CORPORATION LTD|61361 204063
MITKOCOM EOOD|35761 199230
NOSTRAVANT S.L.L.|202227 204175 201453
Vocus Group|4610 9443 9482 38285 18192 17746 9398 38809 4826 9822 9790 9503
Iron Mountain Data Centers|22625 62947 12025
Secom, Inc|16832 394423 62741
Tianhai InfoTech|4842 209417
DiverseIT Pty Ltd|58612 45828
Lonestar Education and Research Network|22645 13359
Univision Mongolia|55408 17882
Seven Net Layers for General Trading & Information Technology LTD.|196918 51018
Micso s.r.l.|21034 205005
I-Services Network Solution Ltd|56103 45816 55480
Ariane Network|57633 39473
GEANT Association|20965 21320
CORPORACION NACIONAL DE TELECOMUNICACIONES|14420 27757 27948 27968
